,element,U_ss,U_pp,zeta_s,zeta_p,beta_s,beta_p,beta_pi,beta_sh,beta_ph,alpha_s,alpha_p,alpha_pi,alpha_sh,alpha_ph,fval1,fval2,gval1,gval2,z_sc,f_sc,b_sc,a_sc,eisol,hyf,g_ss,g_sp,g_pp,g_p2,h_sp,dd,qq,am,ad,aq
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,H,-12.34522989,0.00000000,1.19376951,0.00000000,-3.55853909,0.00000000,0.00000000,-3.55853909,0.00000000,0.06732426,0.00000000,0.00000000,0.06732426,0.00000000,0.24779546,0.00000000,0.36151043,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-12.34522989,0.00000000,12.8480000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4721793,0.4721793,0.4721793
2,He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Li,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C,-50.53809829,-39.18893465,1.24063783,1.24063783,-7.22299220,-3.89503707,-5.98389263,-6.67027186,-4.66942670,0.08775193,0.05302831,0.10244561,0.10456205,0.06145722,0.37629902,0.00000000,0.08125059,0.00000000,5.70000000,-283.81699000,-22.48815939,0.15323932,-116.98406588,3.88229335,12.2300000,11.4700000,11.0800000,9.8400000,2.4300000,0.6671063,0.5728908,0.4494671,0.6837422,0.7558142
7,N,-76.86911508,-57.30532511,1.31794708,1.31794708,-11.27163531,-5.19814028,-9.42644204,-9.43111309,-7.96127622,0.08380547,0.06387304,0.12706496,0.09898195,0.09655514,0.49200495,0.00000000,0.19511376,0.00000000,6.73673665,-380.94261410,-22.78185605,0.15915338,-212.83920549,3.03402816,13.5900000,12.6600000,12.9800000,11.5900000,3.1400000,0.5906863,0.4791483,0.4994487,0.8196213,0.8858938
8,O,-105.32281913,-78.61741113,1.20420353,1.20420353,-13.99112485,-9.57907838,-13.14461173,-13.89205019,-10.28574783,0.12829059,0.09616309,0.16588421,0.15947641,0.11563129,0.56899924,0.00000000,0.19048647,0.00000000,7.74239776,-512.51900000,-26.13251784,0.18281098,-332.50528278,2.86268949,15.4200000,14.4800000,14.5200000,12.9800000,3.9400000,0.4369227,0.3087891,0.5667034,1.0719202,1.2430674
9,F,-119.94597476,-107.72538552,1.11606475,1.11606475,-6.21626110,-14.17975990,-17.97416645,-10.28397098,-14.01190662,0.36826212,0.12592688,0.21676922,0.40117629,0.15563457,0.95888963,0.00000000,0.15019006,0.00000000,8.70367110,-685.41999336,-10.62649349,0.00010713,-464.14887712,2.70957145,16.9200000,17.2500000,16.7100000,14.9100000,4.8300000,0.5106623,0.3932237,0.6218302,1.0805856,1.0999100
