,element,U_ss,U_pp,zeta_s,zeta_p,beta_s,beta_p,beta_pi,beta_sh,beta_ph,alpha_s,alpha_p,alpha_pi,alpha_sh,alpha_ph,fval1,fval2,gval1,gval2,z_sc,f_sc,b_sc,a_sc,eisol,hyf,g_ss,g_sp,g_pp,g_p2,h_sp,dd,qq,am,ad,aq,c61,r01,c62,r02
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,H,-12.64890000,0.00000000,1.47386481,0.00000000,-3.41998220,0.00000000,0.00000000,-3.41998220,0.00000000,0.06607903,0.00000000,0.00000000,0.06607903,0.00000000,0.29566861,1.40190659,0.65271563,0.90843670,0.00000000,0.00000000,0.00000000,0.00000000,-12.64890000,0.00000000,12.8480000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4721793,0.4721793,0.4721793,0.13836140,0.09195488,0.13349720,0.10685589
2,He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Li,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C,-51.65550844,-39.74369825,1.42036892,1.42036892,-7.21406021,-4.14394503,-5.97107657,-6.30164062,-4.04444703,0.09045297,0.05452192,0.10204903,0.09668329,0.05283694,0.49949211,0.72261226,0.21284361,0.99250289,5.16802668,-305.68646337,-9.07185084,0.16985745,-120.32841338,3.39103449,12.2300000,11.4700000,11.0800000,9.8400000,2.4300000,0.6671063,0.5728908,0.4494671,0.6837422,0.7558142,1.74837313,0.14057505,1.74649564,0.14169369
7,N,-74.37638240,-57.60067613,1.33175233,1.33175233,-10.84303446,-7.62373736,-9.27936312,-9.49567107,-8.51180846,0.08974553,0.08759680,0.13172314,0.11429048,0.10673732,0.64073384,0.19580808,0.13946233,0.84373060,6.93980600,-407.39202305,-9.97910210,0.16173024,-208.73979319,3.00257673,13.5900000,12.6600000,12.9800000,11.5900000,3.1400000,0.5906863,0.4791483,0.4994487,0.8196213,0.8858938,1.22660965,0.13120977,1.22649173,0.14069819
8,O,-101.82723464,-78.92823923,1.55214516,1.55214516,-10.64436974,-8.63610952,-9.21201190,-6.54238767,-10.11307271,0.13062089,0.09626876,0.13071747,0.11112738,0.11891861,1.26450169,1.14847352,0.28309603,0.78414131,7.58579774,-514.45812327,-14.16551053,0.34390559,-326.75742620,2.22096546,15.4200000,14.4800000,14.5200000,12.9800000,3.9400000,0.4369227,0.3087891,0.5667034,1.0719202,1.2430674,0.70235574,0.13943710,0.68974720,0.13069564
9,F,-120.62785370,-107.27105397,1.45216726,1.45216726,-6.25438426,-13.93492471,-18.73205761,-6.25104378,-13.94492971,0.26624434,0.12261412,0.21684388,0.44713918,0.15648906,2.11499396,1.09156321,0.31704089,0.02140504,8.71226515,-685.41988599,-9.17960365,0.99971548,-463.24097725,2.08244413,16.9200000,17.2500000,16.7100000,14.9100000,4.8300000,0.5106623,0.3932237,0.6218302,1.0805856,1.0999100,0.75000000,0.12870000,0.75000000,0.12870000
